alignment_condition_id,opinion_leaf,opinion_label,attack_leaf,attack_label,alignment_level,alignment_level_index,target_alignment_z,achieved_alignment_z,alignment_abs_error,n_profiles,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,sd_pn_increment_effectivity,sd_ae_total_network,condition_index,opinion_index,attack_index,condition_input_path,assignment_map_path
condition_01__alliance_commitment_support__headline_and_lede_misframing,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,resilient_0_90,0,-0.9,-0.8727499022891688,0.0272500977108312,100,20.42,11.92,32.34,5.323248040150833,14.112978481389447,1,0,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_01__alliance_commitment_support__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_01__alliance_commitment_support__headline_and_lede_misframing.json
condition_26__energy_sovereignty_investment_support__repost_bot_amplification,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,resilient_0_90,0,-0.9,-0.8831447365691171,0.0168552634308829,100,35.25,14.72,49.97,8.136561704039146,16.681481294591862,26,4,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_26__energy_sovereignty_investment_support__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_26__energy_sovereignty_investment_support__repost_bot_amplification.json
condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_90,0,-0.9,-0.8806477174555595,0.0193522825444405,100,36.55,14.91,51.46,7.47263695293054,19.801244731816556,20,5,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_20__national_sovereignty_priority__credentialed_domain_persona_fabrication.json
condition_14__trade_with_authoritarian_states_support__quote_context_stripping,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,resilient_0_90,0,-0.9,-0.8791515057563701,0.0208484942436298,100,19.24,8.67,27.91,6.853525230186876,10.612642546424608,14,6,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_14__trade_with_authoritarian_states_support__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_14__trade_with_authoritarian_states_support__quote_context_stripping.json
condition_32__trust_in_electoral_process__petition_astroturf,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,resilient_0_90,0,-0.9,-0.8917992087341087,0.0082007912658913,100,35.73,16.5,52.23,9.331709815505842,21.820134803164773,32,3,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_32__trust_in_electoral_process__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_32__trust_in_electoral_process__petition_astroturf.json
condition_08__alliance_commitment_support__quote_context_stripping,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,resilient_0_60,1,-0.6,-0.6021271063401992,0.0021271063401991,100,18.79,10.48,29.27,7.115894855600354,15.963882847088158,8,0,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_08__alliance_commitment_support__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_08__alliance_commitment_support__quote_context_stripping.json
condition_33__energy_sovereignty_investment_support__petition_astroturf,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,resilient_0_60,1,-0.6,-0.5957744568277895,0.0042255431722104,100,34.45,14.12,48.57,9.894677683716962,18.601213710808004,33,4,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_33__energy_sovereignty_investment_support__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_33__energy_sovereignty_investment_support__petition_astroturf.json
condition_27__national_sovereignty_priority__repost_bot_amplification,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,resilient_0_60,1,-0.6,-0.5999753857177755,2.4614282224444395e-05,100,34.89,14.7,49.59,9.605869417846948,17.59941172111423,27,5,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_27__national_sovereignty_priority__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_27__national_sovereignty_priority__repost_bot_amplification.json
condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_60,1,-0.6,-0.5803294055781957,0.0196705944218043,100,37.61,12.18,49.79,9.966996041988283,19.34341168867518,21,6,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_21__trade_with_authoritarian_states_support__credentialed_domain_persona_fabrication.json
condition_02__unilateralism_preference__headline_and_lede_misframing,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,resilient_0_60,1,-0.6,-0.5862878580693031,0.0137121419306969,100,19.77,9.07,28.84,6.812429223059268,12.944106728156216,2,1,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_02__unilateralism_preference__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_02__unilateralism_preference__headline_and_lede_misframing.json
condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,resilient_0_30,2,-0.3,-0.289482259300087,0.010517740699913,100,40.34,20.7,61.04,9.827296554788482,19.12527546510537,15,0,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_15__alliance_commitment_support__credentialed_domain_persona_fabrication.json
