profile_id,opinion_leaf,opinion_label,original_bn_score,original_bn_increment,original_bn_confidence,original_bn_fallback,baseline_score_original_source,retest_bn_score,retest_bn_increment,retest_bn_confidence,retest_bn_fallback,baseline_score_retest_source,fallback_pair
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-237.0,-23.0,0.68,False,-214.0,-187.0,27.0,0.7,False,-214.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-137.0,-72.0,0.71,False,-65.0,-137.0,-72.0,0.7,False,-65.0,False
profile_0003,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-382.0,-17.0,0.73,False,-365.0,-402.0,-37.0,0.68,False,-365.0,False
profile_0019,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-387.0,-29.0,0.71,False,-358.0,-321.0,37.0,0.7,False,-358.0,False
profile_0019,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,47.0,-36.0,0.72,False,83.0,47.0,-36.0,0.71,False,83.0,False
profile_0019,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-523.0,-29.0,0.76,False,-494.0,-512.0,-18.0,0.74,False,-494.0,False
profile_0032,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,47.0,-33.0,0.72,False,80.0,80.0,0.0,0.74,False,80.0,False
profile_0032,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-37.0,-16.0,0.71,False,-21.0,-38.0,-17.0,0.68,False,-21.0,False
profile_0032,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-312.0,-72.0,0.74,False,-240.0,-313.0,-73.0,0.76,False,-240.0,False
profile_0052,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,283.0,-35.0,0.68,False,318.0,319.0,1.0,0.72,False,318.0,False
profile_0052,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,153.0,-24.0,0.7,False,177.0,137.0,-40.0,0.73,False,177.0,False
profile_0052,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,312.0,-65.0,0.71,False,377.0,312.0,-65.0,0.68,False,377.0,False
profile_0055,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-87.0,32.0,0.68,False,-119.0,-132.0,-13.0,0.67,False,-119.0,False
profile_0055,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-23.0,-44.0,0.7,False,21.0,-47.0,-68.0,0.68,False,21.0,False
profile_0055,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-383.0,-35.0,0.712,False,-348.0,-382.0,-34.0,0.74,False,-348.0,False
profile_0065,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-87.0,-127.0,0.68,False,40.0,-87.0,-127.0,0.68,False,40.0,False
profile_0065,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-217.0,-26.0,0.71,False,-191.0,-237.0,-46.0,0.72,False,-191.0,False
profile_0065,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-348.0,44.0,0.72,False,-392.0,-418.0,-26.0,0.71,False,-392.0,False
profile_0067,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-214.0,-43.0,0.72,False,-171.0,-213.0,-42.0,0.72,False,-171.0,False
profile_0067,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-137.0,-12.0,0.72,False,-125.0,-173.0,-48.0,0.68,False,-125.0,False
profile_0067,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-582.0,-35.0,0.76,False,-547.0,-583.0,-36.0,0.74,False,-547.0,False
profile_0068,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-317.0,-55.0,0.68,False,-262.0,-283.0,-21.0,0.7,False,-262.0,False
profile_0068,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,412.0,-77.0,0.74,False,489.0,312.0,-177.0,0.72,False,489.0,False
profile_0068,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-312.0,-14.0,0.7,False,-298.0,-312.0,-14.0,0.73,False,-298.0,False
profile_0081,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-112.0,-18.0,0.68,False,-94.0,-83.0,11.0,0.68,False,-94.0,False
profile_0081,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-267.0,29.0,0.71,False,-296.0,-283.0,13.0,0.68,False,-296.0,False
profile_0081,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-237.0,-81.0,0.68,False,-156.0,-169.0,-13.0,0.64,False,-156.0,False
profile_0084,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,322.0,-12.0,0.7,False,334.0,372.0,38.0,0.71,False,334.0,False
profile_0084,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-237.0,66.0,0.69,False,-303.0,-237.0,66.0,0.67,False,-303.0,False
profile_0084,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-273.0,-24.0,0.7,False,-249.0,-312.0,-63.0,0.71,False,-249.0,False
profile_0090,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,37.0,-4.0,0.64,False,41.0,13.0,-28.0,0.68,False,41.0,False
profile_0090,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-137.0,-133.0,0.68,False,-4.0,-137.0,-133.0,0.72,False,-4.0,False
profile_0090,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-473.0,-12.0,0.74,False,-461.0,-429.0,32.0,0.69,False,-461.0,False
profile_0094,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-312.0,46.0,0.71,False,-358.0,-312.0,46.0,0.71,False,-358.0,False
profile_0094,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-273.0,45.0,0.71,False,-318.0,-247.0,71.0,0.72,False,-318.0,False
profile_0094,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-458.0,-23.0,0.71,False,-435.0,-472.0,-37.0,0.71,False,-435.0,False
profile_0101,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-247.0,43.0,0.72,False,-290.0,-137.0,153.0,0.72,False,-290.0,False
profile_0101,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,247.0,-36.0,0.72,False,283.0,217.0,-66.0,0.68,False,283.0,False
profile_0101,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-397.0,35.0,0.72,False,-432.0,-418.0,14.0,0.74,False,-432.0,False
profile_0110,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,48.0,-106.0,0.68,False,154.0,87.0,-67.0,0.68,False,154.0,False
profile_0110,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,97.0,-17.0,0.72,False,114.0,87.0,-27.0,0.68,False,114.0,False
profile_0110,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-17.0,-173.0,0.71,False,156.0,117.0,-39.0,0.7,False,156.0,False
profile_0120,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,337.0,-64.0,0.68,False,401.0,328.0,-73.0,0.68,False,401.0,False
profile_0120,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-401.0,-53.0,0.71,False,-348.0,-311.0,37.0,0.68,False,-348.0,False
profile_0120,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-94.0,-104.0,0.72,False,10.0,-137.0,-147.0,0.72,False,10.0,False
profile_0122,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,372.0,65.0,0.71,False,307.0,287.0,-20.0,0.73,False,307.0,False
profile_0122,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-203.0,58.0,0.71,False,-261.0,-192.0,69.0,0.76,False,-261.0,False
profile_0122,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-267.0,-35.0,0.71,False,-232.0,-247.0,-15.0,0.71,False,-232.0,False
profile_0128,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-8.0,-43.0,0.58,False,35.0,43.0,8.0,0.66,False,35.0,False
profile_0128,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-203.0,-21.0,0.71,False,-182.0,-247.0,-65.0,0.68,False,-182.0,False
profile_0128,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-151.0,13.0,0.68,False,-164.0,-137.0,27.0,0.73,False,-164.0,False
profile_0144,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,76.0,-33.0,0.68,False,109.0,87.0,-22.0,0.68,False,109.0,False
profile_0144,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-127.0,-34.0,0.67,False,-93.0,-112.0,-19.0,0.71,False,-93.0,False
profile_0144,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-237.0,-13.0,0.71,False,-224.0,-241.0,-17.0,0.72,False,-224.0,False
profile_0146,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,278.0,69.0,0.73,False,209.0,247.0,38.0,0.72,False,209.0,False
profile_0146,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-264.0,12.0,0.72,False,-276.0,-342.0,-66.0,0.7,False,-276.0,False
profile_0146,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-147.0,-11.0,0.73,False,-136.0,-189.0,-53.0,0.74,False,-136.0,False
profile_0151,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,312.0,-112.0,0.72,False,424.0,418.0,-6.0,0.71,False,424.0,False
profile_0151,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-387.0,-45.0,0.73,False,-342.0,-287.0,55.0,0.71,False,-342.0,False
profile_0151,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-47.0,-72.0,0.68,False,25.0,-117.0,-142.0,0.71,False,25.0,False
profile_0165,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-143.0,-57.0,0.72,False,-86.0,-112.0,-26.0,0.71,False,-86.0,False
profile_0165,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-47.0,-56.0,0.7,False,9.0,-73.0,-82.0,0.73,False,9.0,False
profile_0165,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-537.0,21.0,0.78,False,-558.0,-612.0,-54.0,0.78,False,-558.0,False
profile_0182,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,204.0,-64.0,0.71,False,268.0,237.0,-31.0,0.7,False,268.0,False
profile_0182,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,87.0,-38.0,0.68,False,125.0,137.0,12.0,0.73,False,125.0,False
profile_0182,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,183.0,-92.0,0.68,False,275.0,182.0,-93.0,0.68,False,275.0,False
profile_0189,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,218.0,68.0,0.71,False,150.0,137.0,-13.0,0.73,False,150.0,False
profile_0189,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-347.0,-37.0,0.73,False,-310.0,-283.0,27.0,0.72,False,-310.0,False
profile_0189,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-137.0,-225.0,0.72,False,88.0,12.0,-76.0,0.7,False,88.0,False
