profile_id,opinion_leaf,attack_leaf,opinion_label,attack_label,original_pn_score,original_pn_increment,original_pn_confidence,original_pn_fallback,baseline_score_original_source,private_post_score_original_source,retest_pn_score,retest_pn_increment,retest_pn_confidence,retest_pn_fallback,baseline_score_retest_source,private_post_score_retest_source,opinion_leaf_label,attack_leaf_label,adversarial_direction,ae_private,exposure_outgoing_visibility_weight,original_pn_increment_effectivity,retest_pn_increment_effectivity,original_ae_total_network,retest_ae_total_network,fallback_pair
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-271.0,-8.0,0.65,False,-237.0,-263.0,-271.0,-8.0,0.64,False,-237.0,-263.0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-1,26.0,14.062512622268091,8.0,8.0,34.0,34.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-250.0,-13.0,0.62,False,-211.0,-237.0,-248.0,-11.0,0.68,False,-211.0,-237.0,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-1,26.0,14.062512622268091,13.0,11.0,39.0,37.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Multi_Agent_Adversarial_Architecture > Adversarial_Conversation_Loops > Counter_Argument_Adaptation > Multi_Turn_Counter_Argument_Adaptation,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-210.0,-20.0,0.62,False,-173.0,-190.0,-197.0,-7.0,0.63,False,-173.0,-190.0,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-1,17.0,14.062512622268091,20.0,7.0,37.0,24.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Alliance_Commitment_Support,Petition_Astroturf,-301.0,-13.0,0.68,False,-237.0,-288.0,-312.0,-24.0,0.7,False,-237.0,-288.0,Alliance_Commitment_Support,Petition_Astroturf,-1,51.0,14.062512622268091,13.0,24.0,64.0,75.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,-174.0,-13.0,0.65,False,-137.0,-161.0,-173.0,-12.0,0.65,False,-137.0,-161.0,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,-1,24.0,14.062512622268091,13.0,12.0,37.0,36.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,427.0,12.0,0.55,False,437.0,415.0,401.0,-14.0,0.62,False,437.0,415.0,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,-1,22.0,14.062512622268091,-12.0,14.0,10.0,36.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Multi_Agent_Adversarial_Architecture > Adversarial_Conversation_Loops > Counter_Argument_Adaptation > Multi_Turn_Counter_Argument_Adaptation,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-331.0,-24.0,0.64,False,-247.0,-307.0,-327.0,-20.0,0.71,False,-247.0,-307.0,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-1,60.0,14.062512622268091,24.0,20.0,84.0,80.0,False
profile_0003,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Defense_Spending_Increase_Support,Petition_Astroturf,-389.0,-23.0,0.68,False,-312.0,-366.0,-389.0,-23.0,0.68,False,-312.0,-366.0,Defense_Spending_Increase_Support,Petition_Astroturf,-1,54.0,14.062512622268091,23.0,23.0,77.0,77.0,False
profile_0003,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-573.0,-14.0,0.61,False,-537.0,-559.0,-567.0,-8.0,0.65,False,-537.0,-559.0,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-1,22.0,14.062512622268091,14.0,8.0,36.0,30.0,False
profile_0003,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Emotional_And_Moral_Engineering > Fear_Appeals > Personal_Safety_Fear_Appeal,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-281.0,-13.0,0.62,False,-247.0,-268.0,-283.0,-15.0,0.63,False,-247.0,-268.0,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-1,21.0,14.062512622268091,13.0,15.0,34.0,36.0,False
